Pergunta,Opção A,Opção B,Opção C,Opção D,Resposta Correta
Qual é a capital da França?,Paris,Londres,Roma,Berlim,1
Qual é o maior planeta do Sistema Solar?,Terra,Marte,Júpiter,Saturno,3
Quem escreveu 'Dom Quixote'?,William Shakespeare,Miguel de Cervantes,Leonardo da Vinci,Homer,2
Qual é o elemento químico representado pelo símbolo 'O'?,Ouro,Osmium,Oxigênio,Obsidiana,3
Em que ano ocorreu a queda do Muro de Berlim?,1985,1987,1989,1991,3
Quantos continentes existem no mundo?,5,6,7,8,3
Qual é o rio mais longo do mundo?,Nilo,Amazonas,Ganges,Mississippi,2
Quem pintou a Mona Lisa?,Pablo Picasso,Leonardo da Vinci,Claude Monet,Van Gogh,2
Qual é o país com a maior população do mundo?,Índia,China,Estados Unidos,Rússia,2
Qual é a língua mais falada no mundo?,Inglês,Chinês Mandarim,Espanhol,Hindi,2
Quantos lados tem um hexágono?,4,5,6,8,3
Qual é o maior oceano da Terra?,Atlântico,Ártico,Pacífico,Índico,3
Quem foi o primeiro presidente dos Estados Unidos?,George Washington,Abraham Lincoln,Thomas Jefferson,John Adams,1
Qual é a montanha mais alta do mundo?,Monte Everest,K2,Monte Fuji,Mont Blanc,1
Em qual país as Olimpíadas modernas começaram?,França,Grécia,Estados Unidos,Itália,2
